N,procesos,hilos,tiempo_paralelo,tiempo_serial,speedup,eficiencia
2048,1,1,4.181391,3.529396,0.8441,0.8441
2048,1,2,2.857771,3.465327,1.2126,0.6063
2048,1,4,3.013532,3.401086,1.1286,0.2822
2048,1,8,2.987280,3.482040,1.1656,0.1457
2048,2,1,3.334502,3.608154,1.0821,0.5410
2048,4,1,2.885024,3.631611,1.2588,0.3147
2048,8,1,2.896380,3.663310,1.2648,0.1581
2048,2,2,1.791371,3.503169,1.9556,0.4889
2048,2,4,2.522663,3.489750,1.3834,0.1729
2048,4,2,1.586128,3.591655,2.2644,0.2831
2048,4,4,1.973798,3.833637,1.9423,0.1214
2048,8,2,2.558656,3.762251,1.4704,0.0919
